source,source_url,license,raw_file,rows_with_data,unique_samples_with_dynamic_rows,metric,n,min,p05,median,p95,max,model_initial_mpa,model_final_mpa,model_stiffness_loss_pct,model_initial_inside_range,model_final_inside_range,comparison_scope
Zenodo Italian clays RC/CTS dataset,https://zenodo.org/records/3600964,CC BY 4.0,external_data/zenodo_italian_clays_3600964/Italian_Clays_Archive.xlsx,2999,95,small_strain_G0c_MPa,1262,6.935104155823057,16.24330775933651,53.075,146.99937491996116,243.03,44.0981,35.9866,18.3941,True,True,external dynamic-stiffness range check only; not calibration or blind validation
Zenodo Italian clays RC/CTS dataset,https://zenodo.org/records/3600964,CC BY 4.0,external_data/zenodo_italian_clays_3600964/Italian_Clays_Archive.xlsx,2999,95,dynamic_G_RC_CTS_MPa,3260,0.045450000000000004,15.445,67.418,196.013,292.0241664702291,44.0981,35.9866,18.3941,True,True,external dynamic-stiffness range check only; not calibration or blind validation
Zenodo Italian clays RC/CTS dataset,https://zenodo.org/records/3600964,CC BY 4.0,external_data/zenodo_italian_clays_3600964/Italian_Clays_Archive.xlsx,2999,95,small_strain_D0c_pct,843,0.0,1.477594769974421,2.991181520411007,4.896775113147317,6.97,44.0981,35.9866,18.3941,,,external dynamic-stiffness range check only; not calibration or blind validation
Zenodo Italian clays RC/CTS dataset,https://zenodo.org/records/3600964,CC BY 4.0,external_data/zenodo_italian_clays_3600964/Italian_Clays_Archive.xlsx,2999,95,dynamic_D_RC_CTS_pct,3000,0.8213,1.4791214970210065,3.2588510930160397,13.77,26.5229797586207,44.0981,35.9866,18.3941,,,external dynamic-stiffness range check only; not calibration or blind validation
Zenodo Italian clays RC/CTS dataset,https://zenodo.org/records/3600964,CC BY 4.0,external_data/zenodo_italian_clays_3600964/Italian_Clays_Archive.xlsx,2999,95,strain_RC_CTS_pct,3260,1.9e-05,0.000115,0.005791836391995789,0.248475,0.6308079496420179,44.0981,35.9866,18.3941,,,external dynamic-stiffness range check only; not calibration or blind validation
