source,initial_degree_saturation,hmai_plastic,hmai_stiffness,hmai_damage,hmai_composite,hmai_phase_class,external_volumetric_strain_median_pct,external_volumetric_strain_max_pct
Kinikles et al. 2024 Figure 12(a),0.0,1.0,1.0,0.5,0.85,dominant,0.6961805555555556,1.1076388888888888
Kinikles et al. 2024 Figure 12(a),0.12,1.0,1.0,0.5,0.85,dominant,0.6302083333333333,1.1041666666666667
Kinikles et al. 2024 Figure 12(a),0.2,1.0,1.0,0.5,0.85,dominant,0.9236111111111112,1.2986111111111112
Kinikles et al. 2024 Figure 12(a),0.3,1.0,1.0,0.5000287010754901,0.8500086103226471,dominant,1.1284722222222223,1.6354166666666667
Kinikles et al. 2024 Figure 12(a),0.4,0.9921745994749356,1.0,0.503586988877786,0.8479459364533101,dominant,1.1631944444444444,1.8715277777777777
Kinikles et al. 2024 Figure 12(a),0.56,0.9295158102741433,1.0,0.5175635087983882,0.8270753767491739,dominant,1.0815972222222223,1.6840277777777777
