output,predictor,standardized_linear_coefficient,absolute_standardized_coefficient,pearson_correlation,spearman_correlation,base_r2,permuted_r2,permutation_importance_delta_r2,claim_boundary
final_plastic_strain_index,cyclic_amp,0.9819651681139259,0.9819651681139259,0.979835785399953,0.9872822343476598,0.986338516909644,-0.9753507718307508,1.961689288740395,Local identifiability screen around the declared benchmark perturbation range; not a global parameter-identification study.
final_plastic_strain_index,suction_amp_kpa,0.1620644465329879,0.1620644465329879,0.14916229742232803,0.14279957279981015,0.986338516909644,0.9340888701693412,0.05224964674030286,Local identifiability screen around the declared benchmark perturbation range; not a global parameter-identification study.
final_seismic_damage,cyclic_amp,0.9840769107763321,0.9840769107763321,0.9820307610881838,0.9882037707572316,0.9886319663363039,-0.9810253649710983,1.9696573313074022,Local identifiability screen around the declared benchmark perturbation range; not a global parameter-identification study.
final_seismic_damage,suction_amp_kpa,0.15572969319115926,0.15572969319115926,0.14279979765975245,0.13755768247008107,0.9886319663363039,0.9401786118771214,0.04845335445918253,Local identifiability screen around the declared benchmark perturbation range; not a global parameter-identification study.
stiffness_loss_pct,cyclic_amp,0.9840769107763305,0.9840769107763305,0.9820307610881819,0.9882037707572316,0.9886319663363041,-0.9810253649710909,1.969657331307395,Local identifiability screen around the declared benchmark perturbation range; not a global parameter-identification study.
stiffness_loss_pct,suction_amp_kpa,0.1557296931911737,0.1557296931911737,0.14279979765976633,0.13755768247008107,0.9886319663363041,0.9401786118771126,0.04845335445919152,Local identifiability screen around the declared benchmark perturbation range; not a global parameter-identification study.
