source,source_url,doi,soil,property,value,standard
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,10.1016/j.compgeo.2024.106500,SPARC sand,Specific gravity ( G s ),2.70,"(Standards Australia, 2002)"
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,10.1016/j.compgeo.2024.106500,SPARC sand,Median particle size ( D 50 ) [mm],0.31,"(Australia Standards, 2009)"
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,10.1016/j.compgeo.2024.106500,SPARC sand,Percentage passing No. 200 sieve,20,"(Australia Standards, 2009)"
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,10.1016/j.compgeo.2024.106500,SPARC sand,MDD standard Proctor [t/m3],1.96,"(Australia Standards, 2017)"
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,10.1016/j.compgeo.2024.106500,SPARC sand,OMC standard Proctor [%],9.8,"(Australia Standards, 2017)"
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,10.1016/j.compgeo.2024.106500,SPARC sand,MDD modified Proctor [t/m 3 ],2.08,"(Standards Australia, 2003)"
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,10.1016/j.compgeo.2024.106500,SPARC sand,OMC modified Proctor [%],8,"(Standards Australia, 2003)"
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,10.1016/j.compgeo.2024.106500,SPARC sand,"Optimum degree of saturation ( S r,opt ) [%]",70,"(Australia Standards, 2017)"
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,10.1016/j.compgeo.2024.106500,SPARC sand,USCS classification,SM,"(ASTM D2487-17, 2017)"
