model,input_suction_kpa,input_cyclic_strain_pct,material_point_stiffness_loss_pct,material_point_plastic_strain_index,equivalent_1d_shear_modulus_mpa,equivalent_modulus_loss_vs_initial_pct,proxy_flexibility_ratio_vs_constant_suction,relative_deformation_demand_index,first_depth_exceeding_10pct_modulus_change_m,claim_boundary
constant_suction,100.0,0.2,0.0,0.000164622236783,103.73096867952823,1.2086012575921568,1.0,2.0,,"Translates material-point outputs to an interpretable 1D metric; not site response, design approval, or FEM validation."
full_hysteretic_damage,100.0,0.2,18.39410070350178,0.0045206981080284,84.6505898398979,19.380390628668664,1.225401605301482,34.87620618016337,0.5,"Translates material-point outputs to an interpretable 1D metric; not site response, design approval, or FEM validation."
hysteresis_only,100.0,0.2,3.3306690738754696e-14,0.0042344159367881,103.73096867952817,1.2086012575922123,1.0000000000000004,26.722016779360004,,"Translates material-point outputs to an interpretable 1D metric; not site response, design approval, or FEM validation."
no_hysteresis,100.0,0.2,3.3306690738754696e-14,0.0019359344928701,103.73096867952817,1.2086012575922123,1.0000000000000004,12.759860215129931,,"Translates material-point outputs to an interpretable 1D metric; not site response, design approval, or FEM validation."
