source,target,model,n_amplitude_groups,spearman_rank_correlation,affine_rescaled_rmse_pct,affine_rescaled_mae_pct,observed_monotonic_increase,model_monotonic_increase,claim_boundary
Rong/McCartney drained CSS Figure 4.5,volumetric_strain_200_cycles_vs_cyclic_shear_strain_amplitude,constant_suction,4,0.7745966692414834,1.6975472502014977,1.3166666666666667,True,False,Figure-level drained CSS amplitude gate with affine rescaling; not raw time-history validation and not a calibration of cyclic shear strain.
Rong/McCartney drained CSS Figure 4.5,volumetric_strain_200_cycles_vs_cyclic_shear_strain_amplitude,no_hysteresis,4,0.7745966692414834,1.6975472502014977,1.3166666666666664,True,False,Figure-level drained CSS amplitude gate with affine rescaling; not raw time-history validation and not a calibration of cyclic shear strain.
Rong/McCartney drained CSS Figure 4.5,volumetric_strain_200_cycles_vs_cyclic_shear_strain_amplitude,hysteresis_only,4,0.7745966692414834,1.6975472502014977,1.316666666666667,True,False,Figure-level drained CSS amplitude gate with affine rescaling; not raw time-history validation and not a calibration of cyclic shear strain.
Rong/McCartney drained CSS Figure 4.5,volumetric_strain_200_cycles_vs_cyclic_shear_strain_amplitude,full_hysteretic_damage,4,1.0,1.6805326451261358,1.3066502800270468,True,True,Figure-level drained CSS amplitude gate with affine rescaling; not raw time-history validation and not a calibration of cyclic shear strain.
