model,sample,sampled_stiffness_loss_pct,sampled_plastic_strain_index,sampled_relative_deformation_demand_index
constant_suction,0,0.0,0.00019737756098155702,1.0197377560981558
constant_suction,1,0.0,0.00022415748347317315,1.0224157483473173
constant_suction,2,0.0,0.00014845360767054143,1.0148453607670542
constant_suction,3,0.0,0.0001767464065604984,1.0176746406560497
constant_suction,4,0.0,0.0001817354201604872,1.0181735420160487
constant_suction,5,0.0,0.00019865302112419798,1.0198653021124198
constant_suction,6,0.0,0.00016708571751334236,1.0167085717513342
constant_suction,7,0.0,0.00019034350774274533,1.0190343507742745
constant_suction,8,0.0,0.00012621411967324723,1.0126214119673247
constant_suction,9,0.0,0.0002628269270369465,1.0262826927036945
constant_suction,10,0.0,0.00016255032675066517,1.0162550326750666
constant_suction,11,0.0,0.000164811477024932,1.016481147702493
constant_suction,12,0.0,0.00014253324763133758,1.0142533247631338
constant_suction,13,0.0,0.00012594326683100355,1.0125943266831003
constant_suction,14,0.0,0.00017175149445115498,1.0171751494451156
constant_suction,15,0.0,0.00015734443358290934,1.0157344433582909
constant_suction,16,0.0,0.0001800336848527619,1.0180033684852763
constant_suction,17,0.0,0.00014187392980266462,1.0141873929802665
constant_suction,18,0.0,0.0001464990272400413,1.0146499027240041
constant_suction,19,0.0,0.00026002274822457024,1.026002274822457
constant_suction,20,0.0,0.0002410788078786139,1.0241078807878614
constant_suction,21,0.0,0.00014581849294198696,1.0145818492941987
constant_suction,22,0.0,0.0001301103619614592,1.013011036196146
constant_suction,23,0.0,0.00020501121344476564,1.0205011213444766
constant_suction,24,0.0,0.00016795335594908874,1.0167953355949089
constant_suction,25,0.0,0.0001594538431103834,1.0159453843110384
constant_suction,26,0.0,0.00018247514952267574,1.0182475149522676
constant_suction,27,0.0,0.0001464852700735306,1.014648527007353
constant_suction,28,0.0,0.00019505822334392212,1.0195058223343922
constant_suction,29,0.0,0.00018053509281590262,1.0180535092815903
constant_suction,30,0.0,0.00017104731204785648,1.0171047312047856
constant_suction,31,0.0,0.0001831644630254969,1.0183164463025496
constant_suction,32,0.0,0.0001836779861139792,1.018367798611398
constant_suction,33,0.0,0.0001828181427124161,1.0182818142712415
constant_suction,34,0.0,0.00013431506601576924,1.0134315066015769
constant_suction,35,0.0,0.00020544391147504527,1.0205443911475045
constant_suction,36,0.0,0.00020980266125435025,1.020980266125435
constant_suction,37,0.0,0.00013922228003725417,1.0139222280037254
constant_suction,38,0.0,0.0001558732946923386,1.015587329469234
constant_suction,39,0.0,0.0001928810047154815,1.0192881004715482
constant_suction,40,0.0,0.00014112445708144088,1.014112445708144
constant_suction,41,0.0,0.00014580054595337427,1.0145800545953374
constant_suction,42,0.0,0.00019725794147615436,1.0197257941476154
constant_suction,43,0.0,0.00022016064963634987,1.022016064963635
constant_suction,44,0.0,0.00015552146423045122,1.015552146423045
constant_suction,45,0.0,0.00021753034959981344,1.0217530349599813
constant_suction,46,0.0,0.00015533042672354215,1.0155330426723541
constant_suction,47,0.0,0.00014226527171420022,1.01422652717142
constant_suction,48,0.0,0.00015631057968705433,1.0156310579687053
constant_suction,49,0.0,0.00017491615416334136,1.017491615416334
constant_suction,50,0.0,0.0001839343257037757,1.0183934325703776
constant_suction,51,0.0,0.00011696387873991524,1.0116963878739915
constant_suction,52,0.0,0.00018435213182368138,1.0184352131823682
constant_suction,53,0.0,0.0001356822560772719,1.0135682256077272
constant_suction,54,0.0,0.00017055242214938397,1.0170552422149384
constant_suction,55,0.0,0.00018546321650610219,1.0185463216506103
constant_suction,56,0.0,0.00012727338305038494,1.0127273383050386
constant_suction,57,0.0,0.00014189167227823897,1.0141891672278238
constant_suction,58,0.0,0.00011853271047118293,1.0118532710471182
constant_suction,59,0.0,0.00017060385918678085,1.017060385918678
constant_suction,60,0.0,0.00016283216128748404,1.0162832161287485
constant_suction,61,0.0,0.00016241564254603727,1.0162415642546037
constant_suction,62,0.0,0.00016843996868236337,1.0168439968682363
constant_suction,63,0.0,0.00013099651393185652,1.0130996513931856
constant_suction,64,0.0,0.00015486182067078372,1.0154861820670784
constant_suction,65,0.0,0.00013454926083855936,1.013454926083856
constant_suction,66,0.0,0.00019230416259683703,1.0192304162596837
constant_suction,67,0.0,0.0002219383709599158,1.0221938370959915
constant_suction,68,0.0,0.0001446049134273816,1.0144604913427382
constant_suction,69,0.0,0.0001341138271145031,1.0134113827114504
constant_suction,70,0.0,0.00017479437282464337,1.0174794372824643
constant_suction,71,0.0,0.0001466498961396314,1.0146649896139632
constant_suction,72,0.0,0.00020227496597926965,1.020227496597927
constant_suction,73,0.0,0.00018293051122049057,1.0182930511220492
constant_suction,74,0.0,0.00019972198683008372,1.0199721986830084
constant_suction,75,0.0,0.00016363059674485655,1.0163630596744857
constant_suction,76,0.0,0.0001670918601643812,1.0167091860164381
constant_suction,77,0.0,0.00013886025146620412,1.0138860251466204
constant_suction,78,0.0,0.00015299622659470537,1.0152996226594706
constant_suction,79,0.0,0.00016250794150059309,1.0162507941500594
constant_suction,80,0.0,0.00020091190102967255,1.0200911901029672
constant_suction,81,0.0,0.00021938794056100303,1.0219387940561002
constant_suction,82,0.0,0.00024589235751755814,1.0245892357517559
constant_suction,83,0.0,0.00019119086219463594,1.0191190862194637
constant_suction,84,0.0,0.0001072796471674903,1.010727964716749
constant_suction,85,0.0,0.00015769381660933013,1.015769381660933
constant_suction,86,0.0,0.00018799351440767378,1.0187993514407674
constant_suction,87,0.0,0.00011990544348593692,1.0119905443485937
constant_suction,88,0.0,0.00016857391666783662,1.0168573916667836
constant_suction,89,0.0,0.0001697426630610674,1.0169742663061068
constant_suction,90,0.0,0.00013034226728939475,1.0130342267289394
constant_suction,91,0.0,0.00011939856959937487,1.0119398569599374
constant_suction,92,0.0,0.00019117517369836968,1.019117517369837
constant_suction,93,0.0,0.00013614024077836638,1.0136140240778366
constant_suction,94,0.0,0.00017156023607156582,1.0171560236071566
constant_suction,95,0.0,0.00017781710078978392,1.0177817100789783
constant_suction,96,0.0,0.00013013396720510352,1.0130133967205104
constant_suction,97,0.0,0.00022594384083014427,1.0225943840830145
constant_suction,98,0.0,0.00015387894172714332,1.0153878941727144
constant_suction,99,0.0,0.000136543496142585,1.0136543496142585
constant_suction,100,0.0,0.00015658496035022255,1.0156584960350223
constant_suction,101,0.0,0.00012485630530492605,1.0124856305304926
constant_suction,102,0.0,0.00013763417893790324,1.0137634178937904
constant_suction,103,0.0,0.0001352898703299322,1.0135289870329933
constant_suction,104,0.0,0.00021979970304117534,1.0219799703041175
constant_suction,105,0.0,0.00013271047358786353,1.0132710473587863
constant_suction,106,0.0,0.00017953257200294996,1.017953257200295
constant_suction,107,0.0,0.0001671897575052846,1.0167189757505284
constant_suction,108,0.0,0.00021747210077371638,1.0217472100773717
constant_suction,109,0.0,0.00015974728351569049,1.015974728351569
constant_suction,110,0.0,0.0001622891635745283,1.016228916357453
constant_suction,111,0.0,0.00015705300809448698,1.0157053008094488
constant_suction,112,0.0,0.00019429021118524386,1.0194290211185244
constant_suction,113,0.0,0.00015017449012534815,1.0150174490125348
constant_suction,114,0.0,0.00020425966130846866,1.0204259661308468
constant_suction,115,0.0,0.0002644744624891674,1.0264474462489168
constant_suction,116,0.0,0.00014665613799463753,1.0146656137994639
constant_suction,117,0.0,0.00016728573624790613,1.0167285736247906
constant_suction,118,0.0,0.00011332930447714932,1.011332930447715
constant_suction,119,0.0,0.00015179889391428764,1.0151798893914288
constant_suction,120,0.0,0.0001068186033480576,1.0106818603348058
constant_suction,121,0.0,0.00013199756536484545,1.0131997565364845
constant_suction,122,0.0,0.00017772074093106726,1.0177720740931067
constant_suction,123,0.0,0.0001577353358349549,1.0157735335834954
constant_suction,124,0.0,0.00018974657196471249,1.0189746571964713
constant_suction,125,0.0,0.00012467438890347447,1.0124674388903474
constant_suction,126,0.0,0.00021340962143068514,1.0213409621430685
constant_suction,127,0.0,0.0001641109736298838,1.0164110973629883
constant_suction,128,0.0,0.00018571435907185183,1.0185714359071851
constant_suction,129,0.0,0.0001419680795815639,1.0141968079581565
constant_suction,130,0.0,0.00011478236161521977,1.011478236161522
constant_suction,131,0.0,0.0001981515291309216,1.019815152913092
constant_suction,132,0.0,0.0001584669496325625,1.0158466949632563
