model,p05,median,p95
constant_suction,1.011892234707887,1.016286432402002,1.022599902263169
full_hysteretic_damage,1.625207231946269,1.7682449881790432,2.007316305379917
hysteresis_only,1.2997600030452579,1.4313483265200242,1.5961241389655512
no_hysteresis,1.1384808578492898,1.1955535125206707,1.2785750421177988
