source,predictor,external_target,spearman_rank_correlation,pearson_correlation,interpretation
Kinikles et al. 2024 Figure 12(a),hmai_composite,external_volumetric_strain_median_pct,-0.21251185925162072,-0.35782253001758935,Direct HMAI check against digitized figure-level cyclic compression evidence; weak or undefined correlations bound the HMAI claim.
Kinikles et al. 2024 Figure 12(a),hmai_plastic,external_volumetric_strain_median_pct,-0.5408987230262506,-0.3693485988942079,Direct HMAI check against digitized figure-level cyclic compression evidence; weak or undefined correlations bound the HMAI claim.
Kinikles et al. 2024 Figure 12(a),hmai_stiffness,external_volumetric_strain_median_pct,,,Direct HMAI check against digitized figure-level cyclic compression evidence; weak or undefined correlations bound the HMAI claim.
Kinikles et al. 2024 Figure 12(a),hmai_damage,external_volumetric_strain_median_pct,0.7589709258986453,0.4178120455021696,Direct HMAI check against digitized figure-level cyclic compression evidence; weak or undefined correlations bound the HMAI claim.
Kinikles et al. 2024 Figure 12(a),hmai_composite,external_volumetric_strain_max_pct,-0.5161002296110789,-0.4156075734967085,Direct HMAI check against digitized figure-level cyclic compression evidence; weak or undefined correlations bound the HMAI claim.
Kinikles et al. 2024 Figure 12(a),hmai_plastic,external_volumetric_strain_max_pct,-0.7775419143502353,-0.43051405509583623,Direct HMAI check against digitized figure-level cyclic compression evidence; weak or undefined correlations bound the HMAI claim.
Kinikles et al. 2024 Figure 12(a),hmai_stiffness,external_volumetric_strain_max_pct,,,Direct HMAI check against digitized figure-level cyclic compression evidence; weak or undefined correlations bound the HMAI claim.
Kinikles et al. 2024 Figure 12(a),hmai_damage,external_volumetric_strain_max_pct,0.8804062740424288,0.49344973827622857,Direct HMAI check against digitized figure-level cyclic compression evidence; weak or undefined correlations bound the HMAI claim.
