check_family,source,source_url,suction_kpa,cyclic_stress_kpa,raw_model_stiffness_mpa,raw_model_ratio_vs_0kpa,suction_correction_factor,semicalibrated_stiffness_mpa,semicalibrated_ratio_vs_0kpa,external_target,used_for_parameter_fit,holdout_status
suction semi-calibration,Ng et al. resilient-modulus evidence,https://www.cfms-sols.org/sites/default/files/Actes/1055-1058.pdf,0.0,30.0,39.45795674809501,1.0,1.0,39.45795674809501,1.0,baseline,False,baseline
suction semi-calibration,Ng et al. resilient-modulus evidence,https://www.cfms-sols.org/sites/default/files/Actes/1055-1058.pdf,30.0,30.0,44.471785943466074,1.127067633719101,1.7745164000499192,78.91591349619002,2.0,about 2x relative to 0 kPa,True,not_holdout
suction semi-calibration,Ng et al. resilient-modulus evidence,https://www.cfms-sols.org/sites/default/files/Actes/1055-1058.pdf,60.0,30.0,47.15045520674752,1.194954303076626,1.8410745869827005,86.80750484580902,2.2,"about 2.2x relative to 0 kPa, from 2x at 30 kPa plus about 10%",True,not_holdout
suction semi-calibration,Ng et al. resilient-modulus evidence,https://www.cfms-sols.org/sites/default/files/Actes/1055-1058.pdf,250.0,30.0,52.55355428699766,1.331887371221646,1.8473320063873757,97.08386288378726,2.4604381697608906,up to one order of magnitude relative to 0 kPa,False,fails_order_of_magnitude_holdout
