sample,suction_amp_kpa,cyclic_amp,final_plastic_strain_index,stiffness_loss_pct,final_hydraulic_damage,final_seismic_damage,parameter_set,pc0_kpa
0,101.24928622841347,0.1911540567296538,0.003889168835950113,18.205287194575558,0.2,0.006778487362702865,baseline_params_with_input_perturbation,120.0
1,97.91189849716649,0.21558743632102823,0.005935341671520411,18.8146764522374,0.2,0.014178214062882845,baseline_params_with_input_perturbation,120.0
2,98.83329399573701,0.18267967089477619,0.003330543222388396,18.035625385027608,0.2,0.00471830824676363,baseline_params_with_input_perturbation,120.0
3,96.58982404328232,0.18853183651558553,0.003615584512975281,18.12517375576258,0.2,0.005805681319973818,baseline_params_with_input_perturbation,120.0
4,91.7066825807754,0.20885685334843407,0.005001284861764991,18.544636982643425,0.2,0.010899163360670133,baseline_params_with_input_perturbation,120.0
5,90.50961760654423,0.18293885573420804,0.003168160047507002,17.986062704541894,0.2,0.004116475698008783,baseline_params_with_input_perturbation,120.0
6,104.75881924527559,0.21941735076942093,0.00660732861754043,19.005277955021537,0.2,0.01649266088240435,baseline_params_with_input_perturbation,120.0
7,97.62862684229562,0.19208697998019306,0.003868125996894309,18.201222869153455,0.2,0.0067291348397203726,baseline_params_with_input_perturbation,120.0
8,98.41933887066783,0.18051135190156908,0.003209709669012474,17.99853377581,0.2,0.004267910134835295,baseline_params_with_input_perturbation,120.0
9,99.66810494225264,0.19219429778319985,0.003926095688050484,18.216752266305157,0.2,0.0069177060908484295,baseline_params_with_input_perturbation,120.0
10,90.44002129810953,0.20433800366416677,0.004548640891325444,18.41005864317803,0.2,0.009264997810018907,baseline_params_with_input_perturbation,120.0
11,95.15384272690372,0.18802881951662942,0.0035522955220113565,18.106007149470692,0.2,0.005572943957858215,baseline_params_with_input_perturbation,120.0
12,106.02300591632003,0.18085368059819307,0.0033340012621199057,18.039083632288712,0.2,0.004760301249219484,baseline_params_with_input_perturbation,120.0
13,96.66249352199179,0.2030495365872978,0.004669743399414911,18.442778964154115,0.2,0.009662315993299631,baseline_params_with_input_perturbation,120.0
14,107.06643914732994,0.1949899209747955,0.004271000889374162,18.322451925828798,0.2,0.008201201956492366,baseline_params_with_input_perturbation,120.0
15,104.53916274021987,0.2015980223239412,0.004760832545731888,18.46650317514319,0.2,0.009950395698166819,baseline_params_with_input_perturbation,120.0
16,109.01798718797144,0.2071007606351712,0.005368575347590661,18.644567461441518,0.2,0.012112604888932704,baseline_params_with_input_perturbation,120.0
17,95.30994298357214,0.20091049636857844,0.004450955525490796,18.37792403613444,0.2,0.008874791867346693,baseline_params_with_input_perturbation,120.0
18,99.83383087651214,0.21114810641899978,0.005538611054625676,18.694843196262646,0.2,0.012723095954617588,baseline_params_with_input_perturbation,120.0
19,100.59142439797266,0.20074684895048872,0.0045987401391050335,18.416720685613253,0.2,0.009345894039589155,baseline_params_with_input_perturbation,120.0
20,98.57889404647696,0.18633168723543808,0.0035288514242267457,18.09728944803991,0.2,0.005467086154770155,baseline_params_with_input_perturbation,120.0
21,101.72764079361116,0.20844183264696936,0.005325539862322829,18.63109268516783,0.2,0.011948982605609138,baseline_params_with_input_perturbation,120.0
22,99.11086686973586,0.2098404218620786,0.005380947865633246,18.649686801471454,0.2,0.012174768303581912,baseline_params_with_input_perturbation,120.0
23,102.72178082286322,0.1845402224665728,0.0034992202304518433,18.08767057717383,0.2,0.005350285579967903,baseline_params_with_input_perturbation,120.0
24,106.18621400248041,0.1901011500592115,0.0039009963842412646,18.21195295871473,0.2,0.006859428784393012,baseline_params_with_input_perturbation,120.0
