,final_plastic_strain_index,stiffness_loss_pct,final_hydraulic_damage,final_seismic_damage
min,0.0030395816750260975,17.945245621433703,0.2,0.0036208396888376838
mean,0.004610244640348825,18.420805821392502,0.2,0.009395499259765872
max,0.006778617631032357,19.052507747655454,0.2,0.01706616550724461
std,0.0009566860168990435,0.2841748113108305,0.0,0.0034506941373457986
