source,source_url,article_url,doi,digitization_type,point_id,published_cycle_marker,group_initial_degree_saturation,pixel_x,pixel_y,digitized_initial_degree_saturation,digitized_volumetric_strain_pct,x_uncertainty_abs,volumetric_strain_uncertainty_pct,axis_calibration,claim_boundary
Kinikles et al. 2024 Figure 12(a),https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24000491-gr12_lrg.jpg,https://www.sciencedirect.com/science/article/pii/S0266352X24000491,10.1016/j.compgeo.2024.106113,manual_pixel_envelope_from_open_access_figure,K2024-F12a-13,unassigned_15_or_200_cycles,0.3,669,694,0.3043701799485861,0.6909722222222222,0.007712082262210797,0.0763888888888889,x 0-0.6 S0; y 0-3% volumetric strain; calibrated on panel axes,digitized figure evidence only; not raw experimental time history
Kinikles et al. 2024 Figure 12(a),https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24000491-gr12_lrg.jpg,https://www.sciencedirect.com/science/article/pii/S0266352X24000491,10.1016/j.compgeo.2024.106113,manual_pixel_envelope_from_open_access_figure,K2024-F12a-14,unassigned_15_or_200_cycles,0.3,669,765,0.3043701799485861,0.4444444444444444,0.007712082262210797,0.0763888888888889,x 0-0.6 S0; y 0-3% volumetric strain; calibrated on panel axes,digitized figure evidence only; not raw experimental time history
Kinikles et al. 2024 Figure 12(a),https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24000491-gr12_lrg.jpg,https://www.sciencedirect.com/science/article/pii/S0266352X24000491,10.1016/j.compgeo.2024.106113,manual_pixel_envelope_from_open_access_figure,K2024-F12a-15,unassigned_15_or_200_cycles,0.4,865,354,0.40514138817480716,1.8715277777777777,0.007712082262210797,0.0763888888888889,x 0-0.6 S0; y 0-3% volumetric strain; calibrated on panel axes,digitized figure evidence only; not raw experimental time history
Kinikles et al. 2024 Figure 12(a),https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24000491-gr12_lrg.jpg,https://www.sciencedirect.com/science/article/pii/S0266352X24000491,10.1016/j.compgeo.2024.106113,manual_pixel_envelope_from_open_access_figure,K2024-F12a-16,unassigned_15_or_200_cycles,0.4,866,440,0.4056555269922879,1.5729166666666667,0.007712082262210797,0.0763888888888889,x 0-0.6 S0; y 0-3% volumetric strain; calibrated on panel axes,digitized figure evidence only; not raw experimental time history
Kinikles et al. 2024 Figure 12(a),https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24000491-gr12_lrg.jpg,https://www.sciencedirect.com/science/article/pii/S0266352X24000491,10.1016/j.compgeo.2024.106113,manual_pixel_envelope_from_open_access_figure,K2024-F12a-17,unassigned_15_or_200_cycles,0.4,866,676,0.4056555269922879,0.7534722222222222,0.007712082262210797,0.0763888888888889,x 0-0.6 S0; y 0-3% volumetric strain; calibrated on panel axes,digitized figure evidence only; not raw experimental time history
Kinikles et al. 2024 Figure 12(a),https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24000491-gr12_lrg.jpg,https://www.sciencedirect.com/science/article/pii/S0266352X24000491,10.1016/j.compgeo.2024.106113,manual_pixel_envelope_from_open_access_figure,K2024-F12a-18,unassigned_15_or_200_cycles,0.4,866,696,0.4056555269922879,0.6840277777777778,0.007712082262210797,0.0763888888888889,x 0-0.6 S0; y 0-3% volumetric strain; calibrated on panel axes,digitized figure evidence only; not raw experimental time history
Kinikles et al. 2024 Figure 12(a),https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24000491-gr12_lrg.jpg,https://www.sciencedirect.com/science/article/pii/S0266352X24000491,10.1016/j.compgeo.2024.106113,manual_pixel_envelope_from_open_access_figure,K2024-F12a-19,unassigned_15_or_200_cycles,0.56,1178,408,0.5660668380462726,1.6840277777777777,0.007712082262210797,0.0763888888888889,x 0-0.6 S0; y 0-3% volumetric strain; calibrated on panel axes,digitized figure evidence only; not raw experimental time history
Kinikles et al. 2024 Figure 12(a),https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24000491-gr12_lrg.jpg,https://www.sciencedirect.com/science/article/pii/S0266352X24000491,10.1016/j.compgeo.2024.106113,manual_pixel_envelope_from_open_access_figure,K2024-F12a-20,unassigned_15_or_200_cycles,0.56,1176,459,0.5650385604113111,1.5069444444444444,0.007712082262210797,0.0763888888888889,x 0-0.6 S0; y 0-3% volumetric strain; calibrated on panel axes,digitized figure evidence only; not raw experimental time history
Kinikles et al. 2024 Figure 12(a),https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24000491-gr12_lrg.jpg,https://www.sciencedirect.com/science/article/pii/S0266352X24000491,10.1016/j.compgeo.2024.106113,manual_pixel_envelope_from_open_access_figure,K2024-F12a-21,unassigned_15_or_200_cycles,0.56,1176,704,0.5650385604113111,0.65625,0.007712082262210797,0.0763888888888889,x 0-0.6 S0; y 0-3% volumetric strain; calibrated on panel axes,digitized figure evidence only; not raw experimental time history
Kinikles et al. 2024 Figure 12(a),https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24000491-gr12_lrg.jpg,https://www.sciencedirect.com/science/article/pii/S0266352X24000491,10.1016/j.compgeo.2024.106113,manual_pixel_envelope_from_open_access_figure,K2024-F12a-22,unassigned_15_or_200_cycles,0.56,1182,714,0.5681233933161953,0.6215277777777778,0.007712082262210797,0.0763888888888889,x 0-0.6 S0; y 0-3% volumetric strain; calibrated on panel axes,digitized figure evidence only; not raw experimental time history
