cyclic_amp,hmai_crit_relevant,hmncrit_relevant_min_observed,hmai_crit_dominant,hmncrit_dominant_min_observed,negligible_cases,relevant_cases,dominant_cases
0.02,0.1,0.0019377448042825441,0.3,0.008944796770199017,1,2,6
0.04,0.1,0.0009688724021412721,0.3,0.007296229319614543,1,3,5
0.08,0.1,0.00048443620107063603,0.3,0.0036481146598072714,1,3,5
0.12,0.1,0.00032295746738042404,0.3,0.004700715762385102,1,4,4
0.16,0.1,0.00024221810053531802,0.3,0.0035255368217888268,1,4,4
0.2,0.1,0.0001937744804282544,0.3,0.007604398342258834,1,5,3
