group_initial_degree_saturation,n_digitized_points,volumetric_strain_min_pct,volumetric_strain_median_pct,volumetric_strain_max_pct,volumetric_strain_range_pct,target_initial_degree_saturation,model_initial_degree_saturation,model_suction_mean_kpa,model_final_plastic_strain_index,model_stiffness_loss_pct,model_final_seismic_damage
0.0,2,0.2847222222222222,0.6961805555555556,1.1076388888888888,0.8229166666666666,0.0,0.08009000000000001,17264933.273146145,9.936557534750519e-05,16.66666666666665,0.0
0.12,4,0.3125,0.6302083333333333,1.1041666666666667,0.7916666666666667,0.12,0.12,2864.9902113068665,0.00013672779564842538,16.666666666666664,0.0
0.2,4,0.4930555555555556,0.9236111111111112,1.2986111111111112,0.8055555555555556,0.2,0.19999999999999998,607.9385096738303,0.00026998339260273467,16.66666666666665,0.0
0.3,4,0.4444444444444444,1.1284722222222223,1.6354166666666667,1.1909722222222223,0.3,0.29999999999999993,262.25799695253227,0.00047530907547999816,16.66666666666665,0.0
0.4,4,0.6840277777777778,1.1631944444444444,1.8715277777777777,1.1875,0.4,0.4,156.61395032826323,0.0007038474173329293,16.67367926317511,8.415115810155506e-05
0.56,4,0.6215277777777778,1.0815972222222223,1.6840277777777777,1.0625,0.56,0.5599999999999999,88.52114191576514,0.0013531534792775171,16.809593877128435,0.0017151265255414788
