source,source_url,article_url,doi,raw_file,tables_extracted,table_index,rows,columns_max,first_row,claim_boundary
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,https://researchonline.jcu.edu.au/85642/,10.1016/j.compgeo.2024.106500,external_data/chen_2024_multisurface_cyclic_hardening/1-s2.0-S0266352X24004361-mmc1.docx,7,0,10,3,Geotechnical property | Values | Standards,supplementary calibration audit only; not public raw cyclic validation data
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,https://researchonline.jcu.edu.au/85642/,10.1016/j.compgeo.2024.106500,external_data/chen_2024_multisurface_cyclic_hardening/1-s2.0-S0266352X24004361-mmc1.docx,7,1,2,1,,supplementary calibration audit only; not public raw cyclic validation data
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,https://researchonline.jcu.edu.au/85642/,10.1016/j.compgeo.2024.106500,external_data/chen_2024_multisurface_cyclic_hardening/1-s2.0-S0266352X24004361-mmc1.docx,7,2,9,6,Table 2 . Conditions of the simulated monotonic shearing triaxial tests,supplementary calibration audit only; not public raw cyclic validation data
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,https://researchonline.jcu.edu.au/85642/,10.1016/j.compgeo.2024.106500,external_data/chen_2024_multisurface_cyclic_hardening/1-s2.0-S0266352X24004361-mmc1.docx,7,3,5,1,,supplementary calibration audit only; not public raw cyclic validation data
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,https://researchonline.jcu.edu.au/85642/,10.1016/j.compgeo.2024.106500,external_data/chen_2024_multisurface_cyclic_hardening/1-s2.0-S0266352X24004361-mmc1.docx,7,4,2,1,,supplementary calibration audit only; not public raw cyclic validation data
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,https://researchonline.jcu.edu.au/85642/,10.1016/j.compgeo.2024.106500,external_data/chen_2024_multisurface_cyclic_hardening/1-s2.0-S0266352X24004361-mmc1.docx,7,5,3,2, | ,supplementary calibration audit only; not public raw cyclic validation data
Chen et al. 2024 supplementary material,https://ars.els-cdn.com/content/image/1-s2.0-S0266352X24004361-mmc1.docx,https://researchonline.jcu.edu.au/85642/,10.1016/j.compgeo.2024.106500,external_data/chen_2024_multisurface_cyclic_hardening/1-s2.0-S0266352X24004361-mmc1.docx,7,6,2,1,,supplementary calibration audit only; not public raw cyclic validation data
